latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
37.310062,-78.059427,6204,4393,2025-01-07,1553,L8,OLI,H,D
38.002416,-77.967067,6394,1823,2025-01-07,1553,L8,OLI,L,D
37.473328,-77.859717,6774,3770,2025-01-07,1553,L8,OLI,H,D
37.473058,-77.859728,6774,3771,2025-01-07,1553,L8,OLI,H,D
37.443122,-77.811824,6919,3877,2025-01-07,1553,L8,OLI,H,D
37.442852,-77.811836,6919,3878,2025-01-07,1553,L8,OLI,H,D
38.072198,-77.641087,7339,1532,2025-01-07,1553,L8,OLI,H,D
35.119577,-78.50402,7419,1912,2025-01-07,1553,L8,OLI,M,D
35.119583,-78.504349,7418,1912,2025-01-07,1553,L8,OLI,H,D
35.22582,-78.582172,7172,1525,2025-01-07,1553,L8,OLI,H,D
35.22609,-78.582164,7172,1524,2025-01-07,1553,L8,OLI,M,D
34.266667,-78.759836,6712,5084,2025-01-07,1553,L8,OLI,L,D
34.272992,-78.765533,6694,5061,2025-01-07,1553,L8,OLI,M,D
34.273263,-78.765526,6694,5060,2025-01-07,1553,L8,OLI,H,D
34.272998,-78.765858,6693,5061,2025-01-07,1553,L8,OLI,H,D
34.273269,-78.765851,6693,5060,2025-01-07,1553,L8,OLI,H,D
34.76628,-78.777552,6617,3238,2025-01-07,1553,L8,OLI,M,D
33.964068,-78.839547,6491,6208,2025-01-07,1553,L8,OLI,H,D
33.964073,-78.839872,6490,6208,2025-01-07,1553,L8,OLI,H,D
35.300346,-78.863326,6313,1269,2025-01-07,1553,L8,OLI,H,D
35.300617,-78.863319,6313,1268,2025-01-07,1553,L8,OLI,H,D
35.072242,-78.872252,6304,2113,2025-01-07,1553,L8,OLI,M,D
34.957085,-78.875562,6303,2539,2025-01-07,1553,L8,OLI,H,D
34.957091,-78.875891,6302,2539,2025-01-07,1553,L8,OLI,H,D
34.957361,-78.875884,6302,2538,2025-01-07,1553,L8,OLI,M,D
34.763556,-78.898233,6249,3256,2025-01-07,1553,L8,OLI,M,D
34.763826,-78.898226,6249,3255,2025-01-07,1553,L8,OLI,L,D
33.988906,-78.963617,6107,6124,2025-01-07,1553,L8,OLI,M,D
34.588729,-78.955957,6086,3906,2025-01-07,1553,L8,OLI,M,D
33.797865,-78.992779,6031,6832,2025-01-07,1553,L8,OLI,M,D
34.587707,-79.008638,5925,3913,2025-01-07,1553,L8,OLI,H,D
34.587977,-79.008632,5925,3912,2025-01-07,1553,L8,OLI,H,D
34.588248,-79.008625,5925,3911,2025-01-07,1553,L8,OLI,H,D
34.587712,-79.008965,5924,3913,2025-01-07,1553,L8,OLI,H,D
34.587983,-79.008959,5924,3912,2025-01-07,1553,L8,OLI,H,D
34.588253,-79.008952,5924,3911,2025-01-07,1553,L8,OLI,H,D
34.587988,-79.009285,5923,3912,2025-01-07,1553,L8,OLI,M,D
34.863224,-79.019081,5873,2895,2025-01-07,1553,L8,OLI,M,D
34.679523,-79.049661,5793,3576,2025-01-07,1553,L8,OLI,L,D
35.355577,-79.04245,5766,1076,2025-01-07,1553,L8,OLI,M,D
35.355583,-79.04278,5765,1076,2025-01-07,1553,L8,OLI,L,D
34.013583,-79.138116,5568,6043,2025-01-07,1553,L8,OLI,H,D
34.013854,-79.13811,5568,6042,2025-01-07,1553,L8,OLI,M,D
33.99453,-79.148275,5538,6114,2025-01-07,1553,L8,OLI,L,D
33.9948,-79.148269,5538,6113,2025-01-07,1553,L8,OLI,L,D
34.979286,-79.176325,5386,2475,2025-01-07,1553,L8,OLI,M,D
34.688691,-79.187963,5370,3550,2025-01-07,1553,L8,OLI,H,D
34.688961,-79.187957,5370,3549,2025-01-07,1553,L8,OLI,L,D
34.995692,-79.243342,5181,2418,2025-01-07,1553,L8,OLI,H,D
34.995962,-79.243336,5181,2417,2025-01-07,1553,L8,OLI,H,D
34.996232,-79.243331,5181,2416,2025-01-07,1553,L8,OLI,H,D
34.996503,-79.243325,5181,2415,2025-01-07,1553,L8,OLI,H,D
34.995696,-79.243671,5180,2418,2025-01-07,1553,L8,OLI,H,D
34.995967,-79.243665,5180,2417,2025-01-07,1553,L8,OLI,H,D
34.996237,-79.243659,5180,2416,2025-01-07,1553,L8,OLI,H,D
34.996508,-79.243653,5180,2415,2025-01-07,1553,L8,OLI,H,D
35.065072,-79.271793,5090,2163,2025-01-07,1553,L8,OLI,H,D
35.065343,-79.271787,5090,2162,2025-01-07,1553,L8,OLI,M,D
35.061291,-79.272202,5089,2177,2025-01-07,1553,L8,OLI,M,D
33.757683,-79.307877,5061,6998,2025-01-07,1553,L8,OLI,H,D
34.492107,-79.305592,5023,4283,2025-01-07,1553,L8,OLI,M,D
34.492378,-79.305587,5023,4282,2025-01-07,1553,L8,OLI,H,D
35.299011,-79.347662,4845,1302,2025-01-07,1553,L8,OLI,M,D
35.299281,-79.347657,4845,1301,2025-01-07,1553,L8,OLI,M,D
35.301476,-79.349921,4838,1293,2025-01-07,1553,L8,OLI,H,D
35.301746,-79.349916,4838,1292,2025-01-07,1553,L8,OLI,H,D
35.30148,-79.350251,4837,1293,2025-01-07,1553,L8,OLI,H,D
35.163634,-79.357322,4824,1803,2025-01-07,1553,L8,OLI,M,D
35.368515,-79.367049,4782,1046,2025-01-07,1553,L8,OLI,H,D
35.146896,-79.441632,4569,1869,2025-01-07,1553,L8,OLI,H,D
35.147167,-79.441627,4569,1868,2025-01-07,1553,L8,OLI,H,D
35.147437,-79.441622,4569,1867,2025-01-07,1553,L8,OLI,H,D
